Content Title,Content Watch Count,Content Episodes,Content Tags
Collide,22.4M,256,"['Action', 'Romance', 'Completed', 'Supernatural', 'K-Art', 'Vampire']"

Divine Coffin Spirit,3.8M,250,"['Fantasy', 'Adventure', 'Eastern Cultivation', 'Rebirth', 'Counterattack']"

Return of the Master,8.8M,250,"['Action', 'Romance', 'Fantasy', 'Comedy', 'Adventure', 'Harem', 'Rebirth', 'Counterattack', 'Urban Fantasy']"

Dragon Amulet: World of Kingcraft,19.5M,243,"['Action', 'Fantasy', 'Historical', 'TimeTravel', 'Fated']"

Second-to-none Adoration,19.6M,241,"['Romance', 'Fantasy', 'Historical', 'TimeTravel', 'Supernatural', 'Sweet', 'Tragic', 'Chinese Classic', 'Cute Baby', 'Fated']"

Prince's Private Baby,71.8M,239,"['Romance', 'Completed', 'Sweet', 'Cute Baby', 'One-night Stand', 'Possessive', 'Fated', 'Western royalty', 'Elite']"

The Bride of Hades,24.9M,234,"['Romance', 'Fantasy', 'Mystery', 'Urban Romance', 'Supernatural', 'Possessive', 'Hades', 'Fated']"

Cultivator vs Superhero,6.1M,225,"['Action', 'Fantasy', 'Historical', 'TimeTravel']"

"Cultivation, Kidding Me?!",2.2M,222,"['Fantasy', 'TimeTravel', 'Comedy', 'Adventure', 'Supernatural', 'System']"

Devouring Realm,4.4M,219,"['Fantasy', 'Rebirth', 'Revenge']"

Supremacy Of All,4.1M,213,"['Action', 'Eastern Cultivation', 'Revenge']"

Adorable Princess,29.8M,211,"['Romance', 'Fantasy', 'Historical', 'TimeTravel', 'Comedy', 'Sweet', 'Chinese Classic', 'Heartwarming', 'Possessive', 'Fated']"

Woman of Blue Blood,66.7M,208,"['Romance', 'Tragic', 'Possessive']"

The Bizarre Adventure of Miss Capricious,10.4M,207,"['Romance', 'TimeTravel', 'Comedy', 'Adventure', 'Heartwarming', 'Revenge', 'Possessive', 'Fated', 'Western royalty']"

Sweet Bites,22.2M,205,"['Action', 'Romance', 'Fantasy', 'Urban Romance', 'Supernatural', 'Sweet', 'Tragic', 'Vampire', 'Western royalty']"

The Time of Rebirth,2.7M,204,"['Action', 'Fantasy', 'TimeTravel', 'Adventure', 'Eastern Cultivation', 'Harem']"

Antique Appraisal System,4.1M,203,"['Action', 'Fantasy', 'Adventure']"

Epic Reborn,3.4M,202,"['Action', 'Fantasy', 'TimeTravel', 'Eastern Cultivation']"

World Shattered at My Hand,3.2M,194,"['Action', 'Fantasy', 'Historical', 'Adventure', 'Eastern Cultivation', 'Chinese Classic', 'Counterattack']"

King of Martial Arts,5.5M,194,"['Action', 'Adventure', 'Eastern Cultivation']"

Holy Book and Highness,26M,193,"['Romance', 'Historical', 'TimeTravel', 'Unscheduled', 'Chinese Classic']"

Immortals or Demons,3.2M,193,"['Action', 'Fantasy', 'Historical', 'Adventure', 'Eastern Cultivation', 'Chinese Classic', 'Fated']"

Final Will,3.2M,191,"['Action', 'Eastern Cultivation', 'Counterattack']"

Life Burns for Vengeance,3.4M,190,"['Action', 'Fantasy', 'TimeTravel']"

Cultivating to be Legendary,3.9M,190,"['Action', 'Fantasy', 'TimeTravel', 'Adventure', 'Eastern Cultivation']"

Puffy Charms,54.4k,189,"['Comedy', 'Contributor']"

Revenge Planned For Ten Years,10.4M,185,"['Action', 'Fantasy', 'Adventure', 'Revenge', 'Counterattack', 'Urban Fantasy', 'Doctor']"

"Young Marshal, Your Wife is Too Cunning!",10.5M,185,"['Romance', 'Historical', 'Comedy', 'Urban Romance', 'Sweet', 'Revenge', 'Counterattack', 'Young Marshal']"

The True Path,3.7M,184,"['Action', 'Fantasy', 'Eastern Cultivation', 'Rebirth']"

Supremacy of The Demon World,24.3M,184,"['Action', 'Fantasy', 'Historical', 'TimeTravel', 'Completed', 'Chinese Classic', 'Rebirth']"

The God Devourer,3M,183,"['Action', 'Fantasy', 'Adventure', 'Unscheduled']"

Long Live My Queen,7.1M,183,"['Romance', 'Fantasy', 'TimeTravel']"

My Life With Beauties In The Desert Island,2.2M,181,"['Action', 'Fantasy', 'Comedy', 'Adventure', 'Harem', 'Sweet', 'System', 'Counterattack', 'Urban Fantasy']"
